tumor_id	mutation_id	region_id	cluster_label	phi	summary_phi	bic_refit_phi	major_cn	minor_cn	multiplicity_estimated	gamma_major	major_call	multiplicity_call	likelihood_model_id	path_reporting_fingerprint	map_path	pre_switch_path_probability	post_switch_path_probability	switch_boundary_ambiguity_probability	posterior_mutant_copy_mass	posterior_effective_multiplicity	map_mutant_copy_mass	map_effective_multiplicity	amplified_mutant_copy_probability	amplified_mutant_copy_call	path_entropy	summary_map_path	summary_pre_switch_path_probability	summary_post_switch_path_probability	summary_switch_boundary_ambiguity_probability	summary_posterior_mutant_copy_mass	summary_posterior_effective_multiplicity	summary_map_mutant_copy_mass	summary_map_effective_multiplicity	summary_amplified_mutant_copy_probability	summary_amplified_mutant_copy_call	summary_path_entropy	path_supported	path_unsupported_reason
exampleTumor1	m001	region1	1	1.0	0.9999999820400683	1.0	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.0	0.08543048073639609	0.914569519263604	1.0397758431355784	1.0397758431355784	1.0	1.0	0.08543048073639609	0	0.3510520494532989	3	0.9145694939727825	0.08543050602721747	0.0	1.0397758361837157	1.039775854858019	0.9999999820400683	1.0	0.08543050602721747	0	0.3510521269417844	1	
exampleTumor1	m001	region2	1	0.9999999612858829	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	1	0.09411062013394324	0.9058893798660568	0.0	1.504353973061184	1.504354031300922	1.556750051804132	1.5567501120723382	0.9058893798660568	1	0.93986119287247	1	0.09411064605830435	0.9058893539416957	0.0	1.504353977696679	1.5043540161928193	1.5567500780527375	1.556750117889684	0.9058893539416957	1	0.9398612336073924	1	
exampleTumor1	m002	region1	1	1.0	0.9999999820400683	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	1	0.0	0.0	1.0	1.000000018687561	1.000000018687561	1.0	1.0	1.868756104142248e-08	0	3.5124032889228387e-07	1	1.0	0.0	0.0	1.0000000007276435	1.0000000186875755	0.9999999820400683	1.0	1.8687575458465736e-08	0	3.5124058535427467e-07	1	
exampleTumor1	m002	region2	1	0.9999999612845087	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	1	1.0	0.0	0.0	0.9999999676183703	1.0000000063338619	0.9999999612845087	1.0	6.333861866462322e-09	0	1.2590042525033573e-07	1	1.0	0.0	0.0	0.9999999807440423	1.000000006333857	0.9999999744101855	1.0	6.3338569187154805e-09	0	1.2590033180170003e-07	1	
exampleTumor1	m003	region1	1	1.0	0.9999999820400683	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	1	0.0	0.0	1.0	1.0000000033218595	1.0000000033218595	1.0	1.0	3.3218594353965248e-09	0	6.817366130902717e-08	1	1.0	0.0	0.0	0.9999999853619304	1.0000000033218621	0.9999999820400683	1.0	3.3218620293911898e-09	0	6.81737119104308e-08	1	
exampleTumor1	m003	region2	1	1.0	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	1	0.0	0.0	1.0	1.0000000000176996	1.0000000000176996	1.0	1.0	1.7699513563680892e-11	0	4.5589493166033415e-10	1	1.0	0.0	0.0	0.9999999744278851	1.0000000000176996	0.9999999744101855	1.0	1.769954183400372e-11	0	4.558956032920527e-10	1	
exampleTumor1	m004	region1	1	0.9999999638952571	0.9999999820400683	1.0	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.994621048296603	0.005378951703396928	0.0	1.002504366645287	1.0025044028404508	0.9999999638952571	1.0	0.005378951703396928	0	0.037199295064412004	3	0.9946210500881494	0.005378949911850606	0.0	1.002504384004767	1.0025044020096774	0.9999999820400683	1.0	0.005378949911850606	0	0.03719928447097062	1	
exampleTumor1	m004	region2	1	0.9999999612844119	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9999441663581133	5.583364188666657e-05	0.0	1.000031046670667	1.0000310853874586	0.9999999612844119	1.0	5.583364188666657e-05	0	0.0006413193495903187	3	0.9999441663801337	5.583361986632418e-05	0.0	1.0000310597845472	1.000031085375157	0.9999999744101855	1.0	5.583361986632418e-05	0	0.0006413191186800022	1	
exampleTumor1	m005	region1	2	0.4644698563629677	0.4644698459572693	0.43946078886605616	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	1.0	0.0	0.0	0.4644816666809084	1.000025427522968	0.4644698563629677	1.0	2.5427522968046932e-05	0	0.22240183180873005	3	0.9999999999999999	0.0	0.0	0.4644816562794561	1.0000254275326796	0.4644698459572693	1.0	2.5427532679742376e-05	0	0.2224018319093205	1	
exampleTumor1	m005	region2	2	0.5783394986493282	0.5783395130938829	0.5608789113245486	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9567617138262803	0.04323828617371976	0.0	0.5842571787725706	1.0102321908447593	0.5783394986493282	1.0	0.04323828617371976	0	0.17927831469875594	3	0.9567617211670438	0.04323827883295622	0.0	0.5842571928209267	1.0102321899041389	0.5783395130938829	1.0	0.04323827883295622	0	0.17927829159151618	1	
exampleTumor1	m006	region1	1	1.0	0.9999999820400683	1.0	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.0	0.3620585868873396	0.6379414131126604	1.1685719831351082	1.1685719831351082	1.0	1.0	0.3620585868873396	0	0.9055533316367037	3	0.6379413452104734	0.3620586547895266	0.0	1.1685719935386922	1.1685720145261658	0.9999999820400683	1.0	0.3620586547895266	0	0.9055534171654456	1	
exampleTumor1	m006	region2	1	0.999999961286073	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	2	0.005152437759119091	0.9948475622408809	0.0	1.5538814508729613	1.5538815110298165	1.5567500905184395	1.556750150786351	0.9948475622408809	1	0.7218594361839142	2	0.005152439250795005	0.9948475607492051	0.0	1.553881469694828	1.5538815094583676	1.556750103642552	1.5567501434794992	0.9948475607492051	1	0.7218594430008327	1	
exampleTumor1	m007	region1	2	0.46446984521244605	0.4644698459572693	0.43946078886605616	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	1.0	0.0	0.0	0.4645993233862458	1.0002787655111185	0.46446984521244605	1.0	0.0002787655111183904	0	0.22461158119797214	3	1.0	0.0	0.0	0.4645993241279932	1.000278765504049	0.4644698459572693	1.0	0.0002787655040491505	0	0.22461158114168156	1	
exampleTumor1	m007	region2	2	0.5783394983114367	0.5783395130938829	0.5608789113245486	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9501563579206598	0.049843642079340215	0.0	0.5852193907322927	1.011895940776902	0.5783394983114367	1.0	0.049843642079340215	0	0.20012660376533367	3	0.9501563657350863	0.049843634264913665	0.0	0.5852194051395815	1.0118959398241596	0.5783395130938829	1.0	0.049843634264913665	0	0.20012658007386888	1	
exampleTumor1	m008	region1	1	0.9999999638957909	0.9999999820400683	1.0	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9597256718189316	0.04027432818106831	0.0	1.0187514128423658	1.0187514496235812	0.9999999638957909	1.0	0.04027432818106831	0	0.19673103673267292	3	0.9597256841325026	0.04027431586749751	0.0	1.0187514256189043	1.0187514439156107	0.9999999820400683	1.0	0.04027431586749751	0	0.19673098915204337	1	
exampleTumor1	m008	region2	1	0.9999999612847008	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9949629940371217	0.005037005962878217	0.0	1.0028043149079728	1.0028043537318434	0.9999999612847008	1.0	0.005037005962878217	0	0.03516619897495247	3	0.9949629959836468	0.005037004016353253	0.0	1.0028043269827862	1.0028043526443635	0.9999999744101855	1.0	0.005037004016353253	0	0.035166187336599805	1	
exampleTumor1	m009	region1	1	0.9999999638951208	0.9999999820400683	1.0	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.9854533577313966	0.014546642268603392	0.0	1.0067727800329163	1.006772816382327	0.9999999638951208	1.0	0.014546642268603392	0	0.08606133109611404	3	0.9854533619804744	0.014546638019525625	0.0	1.0067727963314965	1.0067728144130674	0.9999999820400683	1.0	0.014546638019525625	0	0.08606131023786341	1	
exampleTumor1	m009	region2	1	1.0	0.9999999744101855	1.0	2.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	0.0	1.4396033126252075e-07	0.9999998560396688	1.0000000801499331	1.0000000801499331	1.0	1.0	1.4396033126252075e-07	0	2.511657927657549e-06	3	0.9999998560395355	1.4396046457339667e-07	0.0	1.000000054560191	1.0000000801500075	0.9999999744101855	1.0	1.4396046457339667e-07	0	2.5116601202317078e-06	1	
exampleTumor1	m010	region1	2	0.46446981374426527	0.4644698459572693	0.43946078886605616	1.0	1.0					clipp2_single_switch_path_mixture_v1	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	3	1.0	0.0	0.0	0.4680306863912132	1.0076665319070843	0.46446981374426527	1.0	0.007666531907084396	0	0.265390110076018	3	1.0	0.0	0.0	0.4680307149315457	1.0076665234681434	0.4644698459572693	1.0	0.007666523468143389	0	0.26539007091019656	1	
