tumor_id	mutation_id	region_id	likelihood_model_id	likelihood_model_version	candidate_generator_version	path_prior_mode	path_reporting_fingerprint	path_scope	path_index	path_probability	map_path	summary_phi	summary_path_probability	summary_map_path	first_copy	second_copy	switch_fraction	path_prior	mutant_copy_mass	effective_multiplicity	amplified_mutant_copy	path_segment_at_fitted_phi	summary_mutant_copy_mass	summary_effective_multiplicity	summary_amplified_mutant_copy	summary_path_segment_at_clustered_phi	biological_duplicate_count
exampleTumor1	m001	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.04271524036819804	0	0.9999999820400683	0.04271525021471938	0	2.0	1.0	0.46559310907204654	0.055039886808694184	1.4655931090720467	1.4655931090720467	1	second_linear_segment_at_fitted_phi	1.4655930911121149	1.465593117434067	1	second_linear_segment_at_clustered_phi	2
exampleTumor1	m001	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	2	0.04271524036819804	0	0.9999999820400683	0.04271525581249809	0	1.0	2.0	0.5344068909279536	0.055039886808694205	1.4655931090720464	1.4655931090720464	1	second_linear_segment_at_fitted_phi	1.4655930731521831	1.465593099474135	1	second_linear_segment_at_clustered_phi	2
exampleTumor1	m001	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	3	0.914569519263604	1	0.9999999820400683	0.9145694939727825	1	1.0	1.0	1.0	0.8899202263826116	1.0	1.0	0	switch_boundary_at_fitted_phi	0.9999999820400683	1.0	0	first_linear_segment_at_clustered_phi	8
exampleTumor1	m001	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.4529447070632427	1	0.9999999744101855	0.4529446882938269	1	1.0	2.0	0.4432498707676336	0.04300336857382123	1.556750051804132	1.5567501120723382	1	second_linear_segment_at_fitted_phi	1.5567500780527375	1.556750117889684	1	second_linear_segment_at_clustered_phi	2
exampleTumor1	m001	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	2	0.4529446728028141	0	0.9999999744101855	0.45294466564786884	0	2.0	1.0	0.5567501292323666	0.043003368573821206	1.5567500905182494	1.5567501507864572	1	second_linear_segment_at_fitted_phi	1.556750103642552	1.5567501434794992	1	second_linear_segment_at_clustered_phi	2
exampleTumor1	m001	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	3	0.09411062013394324	0	0.9999999744101855	0.09411064605830435	0	1.0	1.0	1.0	0.9139932628523576	0.9999999612858829	1.0	0	first_linear_segment_at_fitted_phi	0.9999999744101855	1.0	0	first_linear_segment_at_clustered_phi	8
exampleTumor1	m002	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.999999981312439	1	0.9999999820400683	0.9999999813124246	1	1.0	1.0	1.0	0.9757111023207368	1.0	1.0	0	switch_boundary_at_fitted_phi	0.9999999820400683	1.0	0	first_linear_segment_at_clustered_phi	2
exampleTumor1	m002	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	2	1.868756104142248e-08	0	0.9999999820400683	1.8687575458465736e-08	0	2.0	2.0	1.0	0.02428889767926321	2.0	2.0	1	switch_boundary_at_fitted_phi	1.9999999640801367	2.0	1	first_linear_segment_at_clustered_phi	1
exampleTumor1	m002	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.9999999936661381	1	0.9999999744101855	0.9999999936661431	1	1.0	1.0	1.0	0.9757111023207368	0.9999999612845087	1.0	0	first_linear_segment_at_fitted_phi	0.9999999744101855	1.0	0	first_linear_segment_at_clustered_phi	2
exampleTumor1	m002	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	2	6.333861866462322e-09	0	0.9999999744101855	6.3338569187154805e-09	0	2.0	2.0	1.0	0.02428889767926321	1.9999999225690175	2.0	1	first_linear_segment_at_fitted_phi	1.999999948820371	2.0	1	first_linear_segment_at_clustered_phi	1
exampleTumor1	m003	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.9999999966781405	1	0.9999999820400683	0.999999996678138	1	1.0	1.0	1.0	0.9757111023207368	1.0	1.0	0	switch_boundary_at_fitted_phi	0.9999999820400683	1.0	0	first_linear_segment_at_clustered_phi	2
exampleTumor1	m003	region1	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	2	3.3218594353965248e-09	0	0.9999999820400683	3.3218620293911898e-09	0	2.0	2.0	1.0	0.02428889767926321	2.0	2.0	1	switch_boundary_at_fitted_phi	1.9999999640801367	2.0	1	first_linear_segment_at_clustered_phi	1
exampleTumor1	m003	region2	clipp2_single_switch_path_mixture_v1	1	phased_unphased_two_state_positive_dosages_v1	endpoint_excess_dosage_penalty_biological_alias_mass_v1:alpha=3	5c247107561660669e1e40fa17e9c74b9ce7f23c4cacc5cd6479e760fab68aab	region_local	1	0.9999999999823005	1	0.9999999744101855	0.9999999999823005	1	1.0	1.0	1.0	0.9757111023207368	1.0	1.0	0	switch_boundary_at_fitted_phi	0.9999999744101855	1.0	0	first_linear_segment_at_clustered_phi	2
