tumor_id	mutation_id	cluster_label	cluster_size	cluster_diameter	cluster_diameter_exact	phi_region1	summary_phi_region1	bic_refit_phi_region1	phi_region2	summary_phi_region2	bic_refit_phi_region2
exampleTumor1	m001	1	197	5.5547056535082934e-08	True	1.0	0.9999999820400683	1.0	0.9999999612858829	0.9999999744101855	1.0
exampleTumor1	m002	1	197	5.5547056535082934e-08	True	1.0	0.9999999820400683	1.0	0.9999999612845087	0.9999999744101855	1.0
exampleTumor1	m003	1	197	5.5547056535082934e-08	True	1.0	0.9999999820400683	1.0	1.0	0.9999999744101855	1.0
exampleTumor1	m004	1	197	5.5547056535082934e-08	True	0.9999999638952571	0.9999999820400683	1.0	0.9999999612844119	0.9999999744101855	1.0
exampleTumor1	m005	2	85	1.3744913563334407e-07	True	0.4644698563629677	0.4644698459572693	0.43946078886605616	0.5783394986493282	0.5783395130938829	0.5608789113245486
exampleTumor1	m006	1	197	5.5547056535082934e-08	True	1.0	0.9999999820400683	1.0	0.999999961286073	0.9999999744101855	1.0
exampleTumor1	m007	2	85	1.3744913563334407e-07	True	0.46446984521244605	0.4644698459572693	0.43946078886605616	0.5783394983114367	0.5783395130938829	0.5608789113245486
exampleTumor1	m008	1	197	5.5547056535082934e-08	True	0.9999999638957909	0.9999999820400683	1.0	0.9999999612847008	0.9999999744101855	1.0
exampleTumor1	m009	1	197	5.5547056535082934e-08	True	0.9999999638951208	0.9999999820400683	1.0	1.0	0.9999999744101855	1.0
exampleTumor1	m010	2	85	1.3744913563334407e-07	True	0.46446981374426527	0.4644698459572693	0.43946078886605616	0.5783395158849814	0.5783395130938829	0.5608789113245486
exampleTumor1	m011	2	85	1.3744913563334407e-07	True	0.4644698587764649	0.4644698459572693	0.43946078886605616	0.57833952801246	0.5783395130938829	0.5608789113245486
exampleTumor1	m012	2	85	1.3744913563334407e-07	True	0.46446980116589576	0.4644698459572693	0.43946078886605616	0.5783395240228446	0.5783395130938829	0.5608789113245486
